Participant,Block,Distance,Technique,Trial,Phase,Event,Gap,Time Stamp
5,6,Far,PhoneGyro,5,Rotation,correct,2.549984,09:23:47.917
5,6,Far,PhoneGyro,5,Rotation,Trial End,,09:23:47.917
5,6,Far,PhoneGyro,6,RoughPlacement,Trial Start,,09:23:47.918
5,6,Far,PhoneGyro,6,RoughPlacement,press,,09:23:50.219
5,6,Far,PhoneGyro,6,RoughPlacement,correct,0.4135934,09:23:50.622
5,6,Far,PhoneGyro,6,FinePlacement,press,,09:23:51.220
5,6,Far,PhoneGyro,6,FinePlacement,correct,0.07275975,09:23:52.221
5,6,Far,PhoneGyro,6,Rotation,press,,09:23:52.877
5,6,Far,PhoneGyro,6,Rotation,correct,1.097714,09:23:53.919
5,6,Far,PhoneGyro,6,Rotation,Trial End,,09:23:53.919
5,6,Far,PhoneGyro,7,RoughPlacement,Trial Start,,09:23:53.920
5,6,Far,PhoneGyro,7,RoughPlacement,press,,09:23:56.160
5,6,Far,PhoneGyro,7,RoughPlacement,correct,0.6531534,09:23:57.539
5,6,Far,PhoneGyro,7,FinePlacement,press,,09:23:57.982
5,6,Far,PhoneGyro,7,FinePlacement,correct,0.08677771,09:23:59.179
5,6,Far,PhoneGyro,7,Rotation,press,,09:23:59.882
5,6,Far,PhoneGyro,7,Rotation,correct,3.676422,09:24:01.679
5,6,Far,PhoneGyro,7,Rotation,Trial End,,09:24:01.680
5,6,Far,PhoneGyro,8,RoughPlacement,Trial Start,,09:24:01.680
5,6,Far,PhoneGyro,8,RoughPlacement,press,,09:24:03.880
5,6,Far,PhoneGyro,8,RoughPlacement,correct,1.285013,09:24:04.740
5,6,Far,PhoneGyro,8,FinePlacement,press,,09:24:05.017
5,6,Far,PhoneGyro,8,FinePlacement,release,0.6347706,09:24:06.011
5,6,Far,PhoneGyro,8,FinePlacement,press,,09:24:06.537
5,6,Far,PhoneGyro,8,FinePlacement,correct,0.1211785,09:24:08.122
5,6,Far,PhoneGyro,8,Rotation,press,,09:24:08.541
5,6,Far,PhoneGyro,8,Rotation,correct,1.882632,09:24:09.717
5,6,Far,PhoneGyro,8,Rotation,Trial End,,09:24:09.717
5,6,Far,PhoneGyro,9,RoughPlacement,Trial Start,,09:24:09.717
5,6,Far,PhoneGyro,9,RoughPlacement,press,,09:24:12.361
5,6,Far,PhoneGyro,9,RoughPlacement,correct,0.3180349,09:24:13.178
5,6,Far,PhoneGyro,9,FinePlacement,press,,09:24:14.161
5,6,Far,PhoneGyro,9,FinePlacement,correct,0.08068502,09:24:15.140
